"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"70800","Devoluciones de ventas de mercaderías","Devoluciones de ventas de mercaderías","Revenue","C","No","No",,"7080","S",
"70810","Devoluciones de ventas de productos terminados","Devoluciones de ventas de productos terminados","Revenue","C","No","No",,"7081","S",
"70820","Devoluciones de ventas de productos semiterminados","Devoluciones de ventas de productos semiterminados","Revenue","C","No","No",,"7082","S",
"70830","Devoluciones de ventas de subproductos y residuos","Devoluciones de ventas de subproductos y residuos","Revenue","C","No","No",,"7083","S",
"70840","Devoluciones de ventas de envases y embalajes","Devoluciones de ventas de envases y embalajes","Revenue","C","No","No",,"7084","S",
"70900","«Rappels» sobre ventas de mercaderías","«Rappels» sobre ventas de mercaderías","Revenue","C","No","No",,"7090","S",
"70910","“Rappels” sobre ventas de productos terminados","“Rappels” sobre ventas de productos terminados","Revenue","C","No","No",,"7091","S",
"70920","“Rappels” sobre ventas de productos semiterminados","“Rappels” sobre ventas de productos semiterminados","Revenue","C","No","No",,"7092","S",
"70930","“Rappels” sobre ventas de subproductos y residuos","“Rappels” sobre ventas de subproductos y residuos","Revenue","C","No","No",,"7093","S",
"70940","“Rappels” sobre ventas de envases y embalajes","“Rappels” sobre ventas de envases y embalajes","Revenue","C","No","No",,"7094","S",
"70500","Prestaciones de servicios","Prestaciones de servicios","Revenue","C","No","No",,"7050","S",
"69300","Pérdidas por deterioro de productos terminados y en curso de fabricación","Pérdidas por deterioro de productos terminados y en curso de fabricación","Expense","C","No","No",,"6930","S",
"71000","Variación de existencias de productos en curso","Variación de existencias de productos en curso","Revenue","C","No","No",,"7100","S",
"71100","Variación de existencias de productos semiterminados","Variación de existencias de productos semiterminados","Revenue","C","No","No",,"7110","S",
"71200","Variación de existencias de productos terminados","Variación de existencias de productos terminados","Revenue","C","No","No",,"7120","S",
"71300","Variación de existencias de subproductos.residuos y materiales recuperados","Variación de existencias de subproductos.residuos y materiales recuperados","Revenue","C","No","No",,"7130","S",
"79300","Reversión del deterioro de productos terminados y en curso de fabricación","Reversión del deterioro de productos terminados y en curso de fabricación","Revenue","C","No","No",,"7930","S",
"73000","Trabajos realizados para el inmovilizado intangible","Trabajos realizados para el inmovilizado intangible","Revenue","C","No","No",,"7300","S",
"73100","Trabajos realizados para el inmovilizado material","Trabajos realizados para el inmovilizado material","Revenue","C","No","No",,"7310","S",
"73200","Trabajos realizados en inversiones inmobiliarias","Trabajos realizados en inversiones inmobiliarias","Revenue","C","No","No",,"7320","S",
"73300","Trabajos realizados para el inmovilizado material en curso","Trabajos realizados para el inmovilizado material en curso","Revenue","C","No","No",,"7330","S",
"60000","Compras de mercaderías","Compras de mercaderías","Expense","C","Yes","No","P_EXPENSE_ACCT","6000","S",
"60600","Descuentos sobre compras por pronto pago de mercaderías","Descuentos sobre compras por pronto pago de mercaderías","Expense","C","No","No",,"6060","S",
"60800","Devoluciones de compras de mercaderías","Devoluciones de compras de mercaderías","Expense","C","No","No",,"6080","S",
"60900","“Rappels” por compras de mercaderías","“Rappels” por compras de mercaderías","Expense","C","No","No",,"6090","S",
"61000","Variación de existencias de mercaderías","Variación de existencias de mercaderías","Expense","C","Yes","No","W_DIFFERENCES_ACCT","6100","S",
"60100","Compras de materias primas","Compras de materias primas","Expense","C","No","No",,"6010","S",
"60200","Compras de otros aprovisionamientos","Compras de otros aprovisionamientos","Expense","C","No","No",,"6020","S",
"60610","Descuentos sobre compras por pronto pago de materias primas","Descuentos sobre compras por pronto pago de materias primas","Expense","C","No","No",,"6061","S",
"60620","Descuentos sobre compras por pronto pago de otros aprovisionamientos","Descuentos sobre compras por pronto pago de otros aprovisionamientos","Expense","C","No","No",,"6062","S",
"60810","Devoluciones de compras de materias primas","Devoluciones de compras de materias primas","Expense","C","No","No",,"6081","S",
"60820","Devoluciones de compras de otros aprovisionamientos","Devoluciones de compras de otros aprovisionamientos","Expense","C","No","No",,"6082","S",
"60910","“Rappels” por compras de materias primas","“Rappels” por compras de materias primas","Expense","C","No","No",,"6091","S",
